,species,bill_length_mm,flipper_length_mm
0,-1,0.196078431372549,0.1551724137931032
1,-1,0.21176470588235285,0.2413793103448274
2,-1,0.2431372549019606,0.39655172413793105
3,-1,0.21568627450980382,0.2413793103448274
4,-1,0.10196078431372535,0.3620689655172411
5,-1,0.2039215686274507,0.31034482758620685
6,-1,0.18823529411764683,0.1551724137931032
7,-1,0.19999999999999996,0.39655172413793105
8,-1,0.0,0.3620689655172411
9,-1,0.30980392156862724,0.31034482758620685
10,-1,0.14509803921568598,0.2413793103448274
11,-1,0.14509803921568598,0.13793103448275845
12,-1,0.27450980392156854,0.17241379310344795
13,-1,0.17647058823529393,0.3275862068965516
14,-1,0.019607843137254832,0.4482758620689653
15,-1,0.09803921568627438,0.22413793103448265
16,-1,0.18039215686274512,0.39655172413793105
17,-1,0.3294117647058823,0.43103448275862055
18,-1,0.011764705882352677,0.2068965517241379
19,-1,0.46666666666666656,0.37931034482758585
20,-1,0.14509803921568598,0.0344827586206895
21,-1,0.14117647058823524,0.13793103448275845
22,-1,0.0705882352941174,0.29310344827586166
23,-1,0.16078431372549007,0.22413793103448265
24,-1,0.18431372549019587,0.13793103448275845
25,-1,0.0470588235294116,0.25862068965517215
26,-1,0.2549019607843137,0.1896551724137927
27,-1,0.2509803921568625,0.25862068965517215
28,-1,0.14901960784313695,0.0
29,-1,0.2509803921568625,0.13793103448275845
30,-1,0.21176470588235285,0.10344827586206895
31,-1,0.1215686274509804,0.10344827586206895
32,-1,0.21176470588235285,0.2758620689655169
33,-1,0.2666666666666664,0.2068965517241379
34,-1,0.09019607843137223,0.39655172413793105
35,-1,0.19999999999999996,0.4137931034482758
36,-1,0.18431372549019587,0.31034482758620685
37,-1,0.3176470588235294,0.13793103448275845
38,-1,0.13725490196078427,0.1551724137931032
39,-1,0.22352941176470553,0.2068965517241379
40,-1,0.09411764705882342,0.17241379310344795
41,-1,0.2627450980392154,0.39655172413793105
42,-1,0.07450980392156836,0.2413793103448274
43,-1,0.392156862745098,0.4137931034482758
44,-1,0.11372549019607825,0.22413793103448265
45,-1,0.21568627450980382,0.31034482758620685
46,-1,0.27450980392156854,0.17241379310344795
47,-1,0.13333333333333308,0.1206896551724137
48,-1,0.07450980392156836,0.31034482758620685
49,-1,0.32156862745098014,0.3275862068965516
50,1,0.47058823529411753,0.672413793103448
51,1,0.6235294117647057,1.0
52,1,0.5725490196078431,0.6551724137931032
53,1,0.6235294117647057,0.7931034482758617
54,1,0.5294117647058822,0.7413793103448274
55,1,0.4862745098039214,0.6551724137931032
56,1,0.44313725490196054,0.672413793103448
57,1,0.49411764705882355,0.8103448275862069
58,1,0.36078431372549,0.6379310344827585
59,1,0.4980392156862743,0.7413793103448274
60,1,0.2666666666666664,0.7241379310344827
61,1,0.584313725490196,0.7586206896551722
62,1,0.4470588235294115,0.7241379310344827
63,1,0.56078431372549,0.7068965517241379
64,1,0.4588235294117644,0.6551724137931032
65,1,0.5960784313725487,0.7758620689655169
66,1,0.30980392156862724,0.6551724137931032
67,1,0.5921568627450979,0.8448275862068964
68,1,0.4745098039215685,0.6379310344827585
69,1,0.5725490196078431,0.8620689655172411
70,1,0.6313725490196078,0.7931034482758617
71,1,0.43137254901960764,0.7413793103448274
72,1,0.4862745098039214,0.7068965517241379
73,1,0.47843137254901924,0.7413793103448274
74,1,0.34509803921568616,0.7413793103448274
75,1,0.47058823529411753,0.7413793103448274
76,1,0.40784313725490184,0.7586206896551722
77,1,0.537254901960784,0.7413793103448274
78,1,0.5529411764705883,0.6551724137931032
79,1,0.6235294117647057,0.8275862068965516
80,1,0.5176470588235291,0.8620689655172411
81,1,0.34117647058823497,0.6379310344827585
82,1,0.43137254901960764,0.603448275862069
83,1,1.0,1.0
84,1,0.588235294117647,0.8275862068965516
85,1,0.56078431372549,0.8275862068965516
86,1,0.33333333333333326,0.7068965517241379
87,1,0.40392156862745066,0.8103448275862069
88,1,0.388235294117647,0.6206896551724137
89,1,0.5725490196078431,0.6206896551724137
90,1,0.3372549019607842,0.6206896551724137
91,1,0.6078431372549018,0.9137931034482758
92,1,0.4392156862745096,0.6551724137931032
93,1,0.6078431372549018,0.7586206896551722
94,1,0.6431372549019607,0.8620689655172411
95,1,0.37254901960784315,0.7758620689655169
96,1,0.4470588235294115,0.6551724137931032
97,1,0.6431372549019607,0.9137931034482758
98,1,0.4235294117647057,0.7068965517241379
99,1,0.43529411764705883,0.7413793103448274
